Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint ,Type,Your Instructions / Notes
1,R6,1,YAGEO,RC0402FR-07100KL,100k,RESC1005X40,,
2,"R1, R5, SCL, SDA, SHUNT",5,YAGEO,RC0402FR-0710KL,10k,RESC1005X40,,
3,"R2, R3, R4, R7, R8, R9, R10",7,YAGEO,RC0402FR-071KL,1k,RESC1005X40,,
4,"C13, C14",2,TDK Corporation,CGA2B2X7R1H102K050EA,1n,CAPC1005X60,,
5,"C1, C2, C3, C4, C10, C11, C12",7,TDK Corporation,C1005X6S1C105K050EC,1uF,CAPC1005X60,,
6,IC1,1,Nexperia USA Inc.,74AUP1T08GWH,74AUP1T08GWH,SOT65P212X110-5N,,
7,"C5, C6",2,Würth Elektronik,865090640004,865090640004CAP_WCAP-ASLU_04P0X05P5_WRE-L,CAP_WCAP-ASLU_04P0X05P5_WRE-L,,
8,U2,1,Texas Instruments,ADS1115IDGSR,ADS1115IDGSRDGS0010A_L,DGS0010A_L,,
9,U4,1,Texas Instruments,CD4060BPWR,CD4060BPWR,CD4060BPWR,,
10,U5,1,Analog Devices Inc./Maxim Integrated,MAX4678EUE+,MAX4678EUE+,SOP65P640X110-16N,,
11,"U1, U10",2,Analog Devices Inc.,OP747ARUZ-REEL,OP747ARUZ-REELRU_14_ADI,RU_14_ADI,,
12,U6,1,Texas Instruments,TPS60400DBVR,TPS60400DBVR,SOT95P280X145-5N,,
13,"D9, D10, D11",3,Vishay General Semiconductor - Diodes Division,US1G-E3/61T,US1G-E3/61T,DIOM5226X290N,,
